No.,분류,처방명,별명,구성,[등록]
112,귤피제,복령음,,인삼:6/백출:6/복령:6/지실:4/귤피:5/생강:8,+?/?-
113,해백제,과루해백백주탕,,해백:16/과루인:16,+?/?-
114,해백제,과루해백반하탕,,해백:6/과루인:16/반하:16,+?/?-
115,해백제,지실해백계지탕,,해백:16/과루인:16/계지:2/후박:8/지실:8,+?/?-
116,방기제,목방기탕,,방기:6/계지:4/석고:24/인삼:8,+?/?-
117,방기제,목방기탕거석고가복령망초탕,거석복망/복망탕,방기:4/계지:4/인삼:8/망초:8/복령:8,+?/?-
118,방기제,방기황기탕,방황,방기:8/황기:9/백출:6/자감초:4,+?/?-
119,방기제,방기복령탕,방복,방기:6/계지:6/황기:6/자감초:4/복령:12,+?/?-
120,방기제,방기지황탕,방지,방기:6/계지:6/자감초:2/건지황:8/방풍:6,+?/?-
121,반하제,소반하탕,,반하:32/생강:16,+?/?-
122,반하제,소반하가복령탕,,반하:32/생강:16/복령:6,+?/?-
123,반하제,반하후박탕,,반하:32/생강:10/복령:8/후박:6/자소엽:4,+?/?-
124,반하제,후생반감인탕,,후박:16/생강:16/반하:16/자감초:4/인삼:2,+?/?-
125,반하제,맥문동탕,,반하:32/인삼:6/대추:6/자감초:4/갱미:9/맥문동:15,+?/?-
126,복령제,오령산,,복령:6/계지:4/백출:6/택사:10/저령:6,+?/?-
127,복령제,인진오령산,,인진호:12/택사:8/복령:8/백출:6/계지:6/저령:6,+?/?-
128,복령제,복령택사탕,,복령:16/계지:4/자감초:2/백출:6/택사:8/생강:8,+?/?-
129,복령제,택사탕,,백출:4/택사:10,+?/?-
130,복령제,저령탕,,복령:6/택사:6/저령:6/아교주:6,+?/?-
131,복령제,영계출감탕,,복령:8/계지:6/자감초:4/백출:4,+?/?-
132,복령제,영계감조탕,,복령:16/계지:8/자감초:4/대추:8,+?/?-
133,복령제,영계미감탕,,복령:8/계지:8/오미자:6/자감초:6,+?/?-
134,복령제,영감강미신탕,,복령:8/자감초:6/건강:6/오미자:6/세신:6,+?/?-
135,복령제,영감강미신하탕,,복령:8/자감초:6/건강:6/오미자:6/세신:6/반하:16,+?/?-
136,복령제,영감강미신하인탕,,복령:8/자감초:6/건강:6/오미자:6/세신:6/반하:16/행인:6,+?/?-
137,복령제,영감강미신하인황탕,,복령:8/자감초:6/건강:6/오미자:6/세신:6/반하:16/행인:6/대황:6,+?/?-
138,복령제,영강출감탕,,복령:8/자감초:4/건강:8/백출:4,+?/?-
139,복령제,팔미환,팔미,건지황:16/산약:8/산수유:8/복령:6/택사:6/목단피:6/계지:2/부자:2,+?/?-
140,복령제,육미지황탕,육미,건지황:16/산약:8/산수유:8/복령:6/택사:6/목단피:6,+?/?-
141,도인제,도핵승기탕,,도인:6/계지:4/망초:4/대황:8/자감초:4,+?/?-
142,도인제,대황목단피탕,,도인:8/망초:8/대황:8/목단피:6/동과자:12,+?/?-
143,도인제,계지복령환,계령,계지:6/복령:8/도인:6/목단피:6/작약:6,+?/?-
144,당귀제,당귀작약산,당작,당귀:6/작약:12/천궁:12/복령:8/백출:8/택사:12,+?/?-
146,당귀제,궁귀교애탕,,당귀:6/작약:8/천궁:4/아교주:4/자감초:4/애엽:6/건지황:8,+?/?-
147,당귀제,온경탕,,당귀:4/작약:4/천궁:4/아교주:4/자감초:4/인삼:4/계지:4/생강:4/목단피:4/반하:16/맥문동:5/오수유:6,+?/?-
148,당귀제,오수유탕,,오수유:5/인삼:6/대추:6/생강:12,+?/?-
149,당귀제,적소두당귀산,,적소두:42/당귀:3,+?/?-
